Country,Venue,Date,Time,Race Name,Draw,Form,Last Form,Horse,Runner Country,Jockey,Trainer,Date Last Run,Age,Weight,Beaten Favourite,Course Winner,Distance Winner,Course & Distance Winner,OR,RDB Rating,Race Distance,BF Fav,BSP,Place,ISP,Hi,Low,Finish Position,Distance From Winner,Win Result,Place Result,Runner Count,Back Odd,Lay Odd,Winner,Class,Improving Horse,Going,WFF,RPR,Class Change,Weight Diff,WFF Rank,RDB Rank,FAV Rank,Handi/Non Handi,Flat/Jump,Surface Type,Top Speed
South Africa,Scottsville,20230709,10:35,Mustard & Knoesen Work Riders Handicap,1,85-5953,3,Purple Powahouse,SAF,Andile Ngcobo,Alyson Wright,18,6,9,Y,N,Y,N,-,213,5f 212y,-,-,-,-,-,-,-,-,-,-,8,3.3,3.35,P,-,Y,-,9999,0,0,0,1,4,1,Y,Flat,Turf,-
South Africa,Scottsville,20230709,10:35,Mustard & Knoesen Work Riders Handicap,2,12-4217,7,Trade War,SAF,Tajha Woods,Nathan Kotzen,84,4,9.7,N,N,Y,Y,-,220,5f 212y,-,-,-,-,-,-,-,-,-,-,8,4.4,4.6,L,-,N,-,9999,0,0,0,2,3,2,Y,Flat,Turf,-
South Africa,Scottsville,20230709,10:35,Mustard & Knoesen Work Riders Handicap,3,0-33045,5,Anotherdayinafrica,SAF,Siyabonga B Mthembu,Nathan Kotzen,32,4,9,N,N,Y,N,-,192,5f 212y,-,-,-,-,-,-,-,-,-,-,8,6.2,6.4,L,-,N,-,9999,0,0,0,3,5,4,Y,Flat,Turf,-
South Africa,Scottsville,20230709,10:35,Mustard & Knoesen Work Riders Handicap,4,609-685,5,We All Chomies,SAF,Card Scratching,Lorenzo Karriem,18,6,9,N,N,Y,N,-,158,5f 212y,-,-,-,-,-,-,-,-,-,-,8,0,0,L,-,N,-,9999,0,0,0,4,6,7,Y,Flat,Turf,-
South Africa,Scottsville,20230709,10:35,Mustard & Knoesen Work Riders Handicap,5,0-78818,8,Servilius,SAF,Aron Xabendlini,Stuart Ferrie,20,3,9.4,N,N,Y,N,-,221,5f 212y,-,-,-,-,-,-,-,-,-,-,8,20,25,L,-,Y,-,9999,0,0,0,5,2,6,Y,Flat,Turf,-
South Africa,Scottsville,20230709,10:35,Mustard & Knoesen Work Riders Handicap,6,562907,7,Knight Warrior,SAF,Anathi Feni,Dennis Bosch,27,6,10.1,N,N,Y,Y,-,99,5f 212y,-,-,-,-,-,-,-,-,-,-,8,10.5,11,L,-,N,-,9999,0,0,0,6,7,5,Y,Flat,Turf,-
South Africa,Scottsville,20230709,10:35,Mustard & Knoesen Work Riders Handicap,7,4-11141,1,Quest For The Best,SAF,William Bambiso,jnr Gareth,32,5,9.12,N,Y,Y,Y,-,268,5f 212y,-,-,-,-,-,-,-,-,-,-,8,0,0,L,-,N,-,9999,0,0,0,7,1,8,Y,Flat,Turf,-
South Africa,Scottsville,20230709,10:35,Mustard & Knoesen Work Riders Handicap,8,17-6185,5,Tribute To You,SAF,Wilmien Fourie,Alyson Wright,133,4,9.9,Y,Y,N,N,-,76,5f 212y,-,-,-,-,-,-,-,-,-,-,8,5.5,5.7,W,-,N,-,9999,0,0,0,8,8,3,Y,Flat,Turf,-
South Africa,Scottsville,20230709,11:05,Brokersure Insurance Group Maiden Juvenile Plate (Fillies),1,045,5,Doctor's Orders,SAF,S Veale,Wayne Badenhorst,22,2,9.6,N,N,N,N,-,142,7f 101y,-,-,-,-,-,-,-,-,-,-,14,20,21,L,-,N,-,9999,0,0,0,1,3,8,N,Flat,Turf,-
South Africa,Scottsville,20230709,11:05,Brokersure Insurance Group Maiden Juvenile Plate (Fillies),2,-,-,Miss Purple Fate,SAF,B Jacobson,Yogas Govender,57,2,9.6,N,N,N,N,-,46,7f 101y,-,-,-,-,-,-,-,-,-,-,14,48,60,L,-,N,-,9999,0,0,0,2,12,9,N,Flat,Turf,-
