Venue,Date,Time,Race Name,Draw,Form,Last Form,Horse,Jockey,Trainer,Date Last Run,Age,Weight,Beaten Favourite,Course Winner,Distance Winner,Course & Distance Winner,OR,RDB Rating,Race Distance,Runner Count,Class,Going,RPR,Class Change,Weight Diff,WFF Rank,RDB Rank,Handi/Non Handi,Flat/Jump,Surface Type,Top Speed
Haydock,20230708,13:30,Bet Boost At bet365 Handicap (Class 4),5,22-2321,1,Talha,O J Orr,R A Fahey,15,3,9.2,N,N,Y,N,78,316,5f,9,4, Good,98,1,-10,1,1.0,Y,Flat,Turf,87
Haydock,20230708,13:30,Bet Boost At bet365 Handicap (Class 4),8,045-513,3,Kuwait City,David Egan,J Butler,14,3,9.9,Y,N,Y,N,85,256,5f,9,4, Good,99,0,-1,2,4.0,Y,Flat,Turf,80
Haydock,20230708,13:30,Bet Boost At bet365 Handicap (Class 4),1,16-0084,4,Squealer,Rowan Scott,N Tinkler,14,3,9.8,N,N,Y,N,84,151,5f,9,4, Good,98,0,5,3,5.0,Y,Flat,Turf,64
Haydock,20230708,13:30,Bet Boost At bet365 Handicap (Class 4),3,7-33242,2,Jm Jungle,Jason Hart,J J Quinn,9,3,9.6,N,N,Y,N,82,272,5f,9,4, Good,97,-1,1,4,2.0,Y,Flat,Turf,82
Haydock,20230708,13:30,Bet Boost At bet365 Handicap (Class 4),9,1-58414,4,Desperate Hero,George Bass,Jack Channon,15,3,9.4,N,N,Y,N,80,271,5f,9,4, Good,95,0,2,5,3.0,Y,Flat,Turf,79
Haydock,20230708,13:30,Bet Boost At bet365 Handicap (Class 4),4,05-8129,9,Spirit Of Applause,D Fentiman,T D Easterby,21,3,9.8,N,Y,N,N,84,150,5f,9,4, Good,98,-2,10,6,6.0,Y,Flat,Turf,86
Haydock,20230708,13:30,Bet Boost At bet365 Handicap (Class 4),6,1655-99,9,Minnesota Lad,Billy Garritty,R A Fahey,35,3,9.1,N,N,Y,N,77,100,5f,9,4, Good,94,-1,0,7,8.0,Y,Flat,Turf,63
Haydock,20230708,13:30,Bet Boost At bet365 Handicap (Class 4),7,222234,4,Sugar Hill Babe,L Morris,L Williamson,12,3,8.4,N,N,N,N,66,146,5f,9,4, Good,95,1,-17,8,7.0,Y,Flat,Turf,78
Haydock,20230708,13:30,Bet Boost At bet365 Handicap (Class 4),2,70-5490,0,King's Crown,Connor Murtagh,Adrian Nicholls,21,3,9.3,N,N,N,N,79,67,5f,9,4, Good,95,-2,8,9,9.0,Y,Flat,Turf,81
Sandown,20230708,13:50,Coral Charge (Group 3) (Registered As The Sprint Stakes) (Class 1),9,19-3612,2,Get Ahead,P J Dobbs,C G Cox,34,4,9.2,N,N,Y,N,102,301,5f 10y,11,1, Good,124,0,0,1,1.0,N,Flat,Turf,106
Sandown,20230708,13:50,Coral Charge (Group 3) (Registered As The Sprint Stakes) (Class 1),7,22-5641,1,Makarova,Hollie Doyle,E Walker,14,4,9.2,N,N,Y,N,99,283,5f 10y,11,1, Good,117,0,-4,2,2.0,N,Flat,Turf,110
Sandown,20230708,13:50,Coral Charge (Group 3) (Registered As The Sprint Stakes) (Class 1),6,219164,4,Diligent Harry,K Shoemark,C G Cox,42,5,9.5,N,N,Y,N,108,181,5f 10y,11,1, Good,121,0,-2,3,9.0,N,Flat,Turf,91
Sandown,20230708,13:50,Coral Charge (Group 3) (Registered As The Sprint Stakes) (Class 1),1,554-551,1,Lady Hamana,Andrea Atzeni,K R Burke,21,3,8.11,N,N,Y,Y,97,239,5f 10y,11,1, Good,118,0,0,4,4.0,N,Flat,Turf,96
Sandown,20230708,13:50,Coral Charge (Group 3) (Registered As The Sprint Stakes) (Class 1),4,213-001,1,Equality,W Buick,C Hills,26,5,9.5,N,N,Y,N,108,214,5f 10y,11,1, Good,122,1,-11,5,6.0,N,Flat,Turf,103
Sandown,20230708,13:50,Coral Charge (Group 3) (Registered As The Sprint Stakes) (Class 1),11,113483,3,Annaf,Rossa Ryan,M Appleby,18,4,9.5,N,N,Y,N,109,182,5f 10y,11,1, Good,124,0,-2,6,8.0,N,Flat,Turf,98
Sandown,20230708,13:50,Coral Charge (Group 3) (Registered As The Sprint Stakes) (Class 1),10,884225,5,Equilateral,Non Runner,C Hills,18,8,9.5,N,N,Y,N,106,246,5f 10y,11,1, Good,123,0,-2,7,3.0,N,Flat,Turf,-
Sandown,20230708,13:50,Coral Charge (Group 3) (Registered As The Sprint Stakes) (Class 1),3,25-1537,7,Marshman,R L Moore,K R Burke,18,3,9.3,N,N,Y,N,110,176,5f 10y,11,1, Good,120,0,2,8,10.0,N,Flat,Turf,103
Sandown,20230708,13:50,Coral Charge (Group 3) (Registered As The Sprint Stakes) (Class 1),8,906-749,9,Existent,Jim Crowley,S C Williams,18,5,9.5,N,N,Y,N,103,175,5f 10y,11,1, Good,118,0,-2,9,11.0,N,Flat,Turf,101
Sandown,20230708,13:50,Coral Charge (Group 3) (Registered As The Sprint Stakes) (Class 1),5,504030,0,Raasel,Jason Watson,M Appleby,18,6,9.5,N,N,Y,Y,103,191,5f 10y,11,1, Good,122,0,-2,10,7.0,N,Flat,Turf,107
Sandown,20230708,13:50,Coral Charge (Group 3) (Registered As The Sprint Stakes) (Class 1),2,865-421,1,Tiber Flow,Tom Marquand,W J Haggas,7,4,9.8,N,N,N,N,110,229,5f 10y,11,1, Good,123,0,3,11,5.0,N,Flat,Turf,77
Haydock,20230708,14:05,bet365 Handicap (Class 2),9,16-6561,1,Galactic Jack,Harry Davies,A M Balding,10,3,9.9,N,N,N,N,95,174,1m 6f,14,2, Good,103,1,3,1,9.0,Y,Flat,Turf,95
